Teff	logg	M/Mo	Mbol	BC	U	B	V	R	I	J	H	K	u	g	r	i	z	y	b-y	u-b	v-y	V-I	G-R	U-V	U-G	B-V	Age
55000	8	0.703	4.247	-4.828	7.457	8.763	9.075	9.225	9.414	9.823	9.942	10.042	8.301	8.77	9.304	9.689	10.048	9.086	-0.14	-0.386	-0.197	-0.788	-0.766	-0.726	-0.461	-0.438	1.53E+06
60000	8	0.713	3.854	-5.127	7.348	8.663	8.981	9.132	9.322	9.733	9.852	9.952	8.193	8.672	9.21	9.597	9.957	8.992	-0.142	-0.399	-0.206	-0.79	-0.77	-0.74	-0.473	-0.444	1.26E+06
65000	8	0.722	3.492	-5.403	7.252	8.572	8.895	9.047	9.238	9.652	9.771	9.871	8.096	8.583	9.125	9.513	9.874	8.906	-0.144	-0.409	-0.213	-0.792	-0.772	-0.751	-0.483	-0.448	1.06E+06
70000	8	0.732	3.156	-5.66	7.163	8.488	8.816	8.969	9.161	9.576	9.696	9.795	8.008	8.501	9.047	9.436	9.797	8.828	-0.145	-0.418	-0.22	-0.794	-0.775	-0.76	-0.491	-0.452	9.01E+05
75000	8	0.741	2.843	-5.899	7.081	8.411	8.743	8.896	9.09	9.505	9.626	9.725	7.926	8.426	8.973	9.364	9.726	8.754	-0.146	-0.425	-0.225	-0.796	-0.777	-0.769	-0.498	-0.455	7.77E+05
80000	8	0.75	2.55	-6.123	7.004	8.338	8.673	8.827	9.022	9.439	9.559	9.659	7.849	8.354	8.904	9.296	9.658	8.685	-0.148	-0.432	-0.23	-0.797	-0.779	-0.776	-0.505	-0.458	6.76E+05
85000	8	0.759	2.274	-6.333	6.931	8.269	8.607	8.761	8.957	9.375	9.496	9.595	7.777	8.286	8.838	9.231	9.593	8.619	-0.149	-0.438	-0.234	-0.799	-0.781	-0.782	-0.51	-0.461	5.91E+05
90000	8	0.768	2.013	-6.531	6.863	8.203	8.544	8.699	8.895	9.314	9.436	9.535	7.708	8.221	8.776	9.169	9.532	8.556	-0.149	-0.443	-0.238	-0.8	-0.782	-0.788	-0.515	-0.463	5.20E+05
100000	8	0.785	1.53	-6.895	6.734	8.079	8.425	8.581	8.779	9.199	9.321	9.42	7.579	8.099	8.658	9.052	9.416	8.438	-0.151	-0.452	-0.245	-0.802	-0.785	-0.798	-0.524	-0.468	4.02E+05
110000	8	0.804	1.091	-7.223	6.615	7.965	8.314	8.471	8.67	9.091	9.214	9.313	7.46	7.986	8.547	8.943	9.308	8.327	-0.152	-0.459	-0.25	-0.804	-0.788	-0.806	-0.531	-0.471	3.08E+05
120000	8	0.824	0.686	-7.521	6.501	7.855	8.208	8.365	8.566	8.988	9.111	9.211	7.347	7.877	8.441	8.838	9.203	8.22	-0.154	-0.466	-0.255	-0.806	-0.79	-0.813	-0.536	-0.474	2.34E+05
1500	8.5	0.908	20.862	1.139	23.919	21.763	19.723	19.843	21.772	21.578	21.482	22.402	24.911	20.648	19.709	22.113	21.604	19.633	1.432	4.976	3.299	-2.916	-0.487	5.579	4.462	2.444	1.21E+10
1750	8.5	0.908	20.192	0.992	23.325	21.312	19.2	19.08	20.503	20.364	20.406	21.233	24.298	20.206	18.969	20.826	20.527	19.137	1.496	4.735	3.29	-2.024	0.252	5.411	4.241	2.445	1.20E+10
2000	8.5	0.908	19.612	0.812	22.77	20.901	18.8	18.461	19.376	19.419	19.583	20.286	23.725	19.83	18.394	19.713	19.54	18.76	1.486	4.499	3.195	-1.192	0.878	5.172	4.014	2.37	1.19E+10
2250	8.5	0.908	19.101	0.589	22.293	20.562	18.512	18.003	18.466	18.605	18.839	19.398	23.231	19.532	18.001	18.823	18.732	18.485	1.447	4.272	3.078	-0.506	1.324	4.921	3.799	2.274	1.17E+10
2500	8.5	0.908	18.643	0.381	21.846	20.242	18.262	17.623	17.715	17.908	18.214	18.66	22.77	19.254	17.698	18.101	18.049	18.24	1.395	4.063	2.952	0.035	1.611	4.677	3.602	2.171	1.16E+10
2750	8.5	0.908	18.229	0.187	21.43	19.944	18.042	17.312	17.105	17.31	17.667	18.018	22.342	18.998	17.461	17.531	17.481	18.022	1.338	3.871	2.827	0.454	1.759	4.446	3.421	2.067	1.14E+10
3000	8.5	0.908	17.851	0.017	21.025	19.652	17.835	17.048	16.617	16.772	17.155	17.438	21.926	18.748	17.262	17.088	17.008	17.815	1.276	3.688	2.698	0.755	1.798	4.219	3.248	1.96	1.12E+10
3250	8.5	0.908	17.503	-0.127	20.618	19.357	17.631	16.823	16.245	16.28	16.655	16.874	21.508	18.497	17.079	16.755	16.628	17.61	1.21	3.506	2.564	0.933	1.762	3.99	3.078	1.849	1.11E+10
3500	8.5	0.908	17.182	-0.241	20.199	19.053	17.423	16.624	15.972	15.832	16.167	16.34	21.079	18.239	16.9	16.505	16.335	17.402	1.14	3.321	2.424	1.003	1.679	3.755	2.904	1.732	1.09E+10
3750	8.5	0.908	16.882	-0.325	19.762	18.735	17.207	16.436	15.762	15.432	15.69	15.821	20.634	17.969	16.718	16.303	16.108	17.186	1.067	3.131	2.278	0.997	1.571	3.512	2.726	1.609	1.07E+10
4000	8.5	0.909	16.601	-0.371	19.281	18.385	16.972	16.244	15.58	15.093	15.235	15.312	20.143	17.673	16.521	16.12	15.919	16.95	0.986	2.922	2.114	0.942	1.44	3.244	2.529	1.472	1.04E+10
4250	8.5	0.909	16.338	-0.375	18.75	18.001	16.713	16.036	15.4	14.827	14.823	14.851	19.604	17.347	16.303	15.932	15.744	16.692	0.898	2.69	1.935	0.861	1.295	2.95	2.312	1.322	1.00E+10
4500	8.5	0.909	16.089	-0.346	18.183	17.591	16.436	15.813	15.216	14.628	14.48	14.481	19.027	16.999	16.068	15.736	15.57	16.415	0.809	2.441	1.746	0.766	1.144	2.638	2.077	1.165	9.68E+09
4750	8.5	0.909	15.854	-0.299	17.612	17.181	16.153	15.584	15.028	14.469	14.218	14.178	18.448	16.647	15.826	15.535	15.396	16.133	0.725	2.19	1.563	0.67	1	2.329	1.842	1.014	9.23E+09
5000	8.5	0.91	15.631	-0.242	17.062	16.783	15.873	15.356	14.842	14.326	14.032	13.957	17.891	16.304	15.586	15.336	15.224	15.855	0.649	1.952	1.395	0.576	0.865	2.041	1.62	0.877	8.71E+09
5250	8.5	0.91	15.418	-0.188	16.542	16.41	15.607	15.137	14.663	14.195	13.895	13.81	17.365	15.979	15.355	15.144	15.059	15.589	0.583	1.724	1.245	0.487	0.744	1.773	1.41	0.756	8.03E+09
5500	8.5	0.911	15.215	-0.145	16.065	16.069	15.36	14.933	14.496	14.073	13.784	13.704	16.884	15.681	15.142	14.965	14.906	15.344	0.525	1.515	1.113	0.407	0.637	1.532	1.219	0.65	7.07E+09
6000	8.5	0.913	14.835	-0.099	15.229	15.488	14.934	14.581	14.207	13.862	13.604	13.545	16.044	15.169	14.774	14.656	14.639	14.92	0.43	1.133	0.898	0.27	0.457	1.111	0.88	0.477	5.24E+09
6500	8.5	0.914	14.486	-0.102	14.576	15.028	14.588	14.293	13.971	13.689	13.459	13.423	15.392	14.758	14.475	14.404	14.422	14.575	0.359	0.852	0.747	0.159	0.315	0.81	0.642	0.352	4.43E+09
7000	8.5	0.915	14.163	-0.13	14.085	14.654	14.293	14.046	13.769	13.541	13.339	13.323	14.905	14.416	14.218	14.187	14.236	14.282	0.304	0.687	0.646	0.066	0.202	0.623	0.503	0.263	3.79E+09
7500	8.5	0.916	13.863	-0.168	13.698	14.336	14.031	13.824	13.585	13.409	13.236	13.235	14.521	14.12	13.987	13.99	14.065	14.021	0.262	0.591	0.578	-0.012	0.111	0.506	0.422	0.199	3.26E+09
8000	8.5	0.916	13.582	-0.21	13.38	14.058	13.792	13.619	13.413	13.288	13.144	13.155	14.205	13.856	13.775	13.808	13.907	13.782	0.228	0.537	0.532	-0.079	0.035	0.432	0.378	0.152	2.79E+09
8500	8.5	0.917	13.318	-0.253	13.109	13.808	13.57	13.427	13.253	13.176	13.059	13.08	13.935	13.615	13.578	13.637	13.76	13.561	0.2	0.509	0.503	-0.141	-0.032	0.388	0.358	0.117	2.38E+09
9000	8.5	0.918	13.068	-0.294	12.871	13.581	13.363	13.248	13.103	13.072	12.979	13.008	13.699	13.394	13.393	13.477	13.622	13.354	0.175	0.498	0.485	-0.199	-0.091	0.363	0.354	0.092	2.02E+09
9500	8.5	0.919	12.833	-0.334	12.657	13.372	13.167	13.079	12.962	12.974	12.904	12.94	13.487	13.189	13.219	13.326	13.493	13.157	0.155	0.497	0.476	-0.255	-0.146	0.35	0.358	0.075	1.71E+09
10000	8.5	0.919	12.609	-0.374	12.461	13.178	12.983	12.921	12.831	12.884	12.834	12.875	13.293	12.998	13.057	13.186	13.374	12.973	0.137	0.499	0.471	-0.309	-0.196	0.343	0.364	0.063	1.44E+09
10500	8.5	0.92	12.396	-0.418	12.282	13.001	12.814	12.777	12.713	12.801	12.768	12.814	13.115	12.822	12.909	13.058	13.267	12.804	0.121	0.502	0.468	-0.361	-0.242	0.337	0.37	0.053	1.21E+09
11000	8.5	0.921	12.193	-0.473	12.121	12.844	12.666	12.652	12.61	12.728	12.711	12.76	12.955	12.668	12.78	12.947	13.174	12.655	0.106	0.501	0.464	-0.407	-0.284	0.329	0.37	0.045	1.04E+09
11500	8.5	0.922	12	-0.543	11.978	12.71	12.542	12.547	12.525	12.666	12.661	12.714	12.814	12.537	12.671	12.856	13.097	12.531	0.093	0.494	0.457	-0.447	-0.32	0.313	0.364	0.035	9.04E+08
12000	8.5	0.922	11.814	-0.624	11.851	12.595	12.438	12.458	12.454	12.614	12.617	12.673	12.688	12.425	12.58	12.779	13.031	12.426	0.08	0.482	0.447	-0.481	-0.353	0.294	0.353	0.025	8.02E+08
12500	8.5	0.923	11.636	-0.713	11.74	12.494	12.348	12.383	12.393	12.569	12.579	12.637	12.577	12.328	12.502	12.714	12.976	12.337	0.068	0.47	0.437	-0.511	-0.383	0.274	0.342	0.014	7.24E+08
13000	8.5	0.924	11.465	-0.812	11.65	12.412	12.277	12.323	12.346	12.533	12.548	12.608	12.487	12.249	12.44	12.663	12.932	12.265	0.057	0.461	0.427	-0.535	-0.408	0.258	0.334	0.004	6.55E+08
13500	8.5	0.924	11.3	-0.922	11.579	12.348	12.222	12.278	12.31	12.504	12.524	12.584	12.417	12.188	12.393	12.624	12.899	12.211	0.048	0.453	0.418	-0.554	-0.429	0.243	0.326	-0.005	5.93E+08
14000	8.5	0.925	11.141	-1.028	11.508	12.284	12.169	12.233	12.274	12.476	12.499	12.56	12.346	12.127	12.346	12.586	12.865	12.158	0.037	0.444	0.407	-0.572	-0.45	0.227	0.317	-0.015	5.37E+08
14500	8.5	0.926	10.988	-1.124	11.43	12.215	12.112	12.185	12.234	12.444	12.472	12.533	12.268	12.062	12.296	12.544	12.828	12.102	0.027	0.432	0.393	-0.589	-0.471	0.206	0.305	-0.029	4.87E+08
15000	8.5	0.926	10.84	-1.215	11.346	12.144	12.055	12.134	12.193	12.411	12.442	12.505	12.185	11.995	12.244	12.5	12.789	12.045	0.016	0.414	0.375	-0.604	-0.491	0.18	0.289	-0.046	4.44E+08
15500	8.5	0.927	10.697	-1.302	11.26	12.072	11.999	12.084	12.15	12.376	12.412	12.477	12.099	11.929	12.192	12.456	12.748	11.99	0.006	0.392	0.354	-0.617	-0.509	0.151	0.269	-0.064	4.06E+08
16000	8.5	0.927	10.558	-1.386	11.174	12.003	11.945	12.034	12.107	12.342	12.381	12.447	12.014	11.866	12.14	12.411	12.707	11.937	-0.002	0.366	0.333	-0.627	-0.525	0.119	0.247	-0.082	3.72E+08
16500	8.5	0.928	10.424	-1.469	11.089	11.936	11.893	11.986	12.065	12.307	12.351	12.418	11.929	11.804	12.091	12.367	12.667	11.886	-0.01	0.339	0.311	-0.636	-0.539	0.087	0.222	-0.1	3.42E+08
17000	8.5	0.929	10.294	-1.549	11.007	11.871	11.843	11.939	12.023	12.272	12.32	12.389	11.847	11.745	12.043	12.324	12.627	11.837	-0.017	0.311	0.29	-0.643	-0.551	0.054	0.197	-0.116	3.15E+08
20000	8.5	0.932	9.584	-1.984	10.556	11.524	11.568	11.678	11.788	12.075	12.14	12.218	11.397	11.427	11.776	12.082	12.399	11.566	-0.048	0.157	0.186	-0.68	-0.606	-0.121	0.054	-0.19	1.97E+08
25000	8.5	0.938	8.608	-2.563	9.943	11.04	11.171	11.3	11.441	11.78	11.865	11.958	10.785	10.978	11.392	11.727	12.063	11.173	-0.083	-0.036	0.062	-0.727	-0.671	-0.336	-0.127	-0.273	9.66E+07
30000	8.5	0.944	7.81	-2.986	9.401	10.595	10.796	10.937	11.101	11.478	11.582	11.686	10.244	10.562	11.024	11.381	11.73	10.801	-0.107	-0.187	-0.039	-0.759	-0.715	-0.502	-0.27	-0.336	4.70E+07
35000	8.5	0.954	7.128	-3.37	9	10.248	10.498	10.643	10.817	11.212	11.324	11.427	9.843	10.234	10.727	11.095	11.449	10.506	-0.122	-0.278	-0.109	-0.771	-0.737	-0.606	-0.359	-0.377	2.48E+07
40000	8.5	0.96	6.541	-3.771	8.764	10.039	10.312	10.459	10.639	11.041	11.156	11.259	9.608	10.033	10.541	10.916	11.272	10.321	-0.129	-0.324	-0.143	-0.778	-0.748	-0.656	-0.403	-0.398	9.76E+06
45000	8.5	0.966	6.023	-4.152	8.596	9.887	10.176	10.324	10.508	10.915	11.031	11.133	9.44	9.887	10.405	10.784	11.142	10.185	-0.133	-0.353	-0.164	-0.783	-0.755	-0.687	-0.43	-0.411	4.05E+06
50000	8.5	0.972	5.559	-4.506	8.463	9.766	10.065	10.215	10.402	10.811	10.929	11.031	9.308	9.77	10.295	10.677	11.036	10.075	-0.136	-0.373	-0.18	-0.787	-0.761	-0.709	-0.449	-0.421	2.02E+06
55000	8.5	0.977	5.14	-4.832	8.352	9.663	9.971	10.122	10.311	10.723	10.842	10.943	9.197	9.67	10.202	10.586	10.946	9.981	-0.139	-0.388	-0.192	-0.79	-0.765	-0.726	-0.463	-0.429	1.26E+06
60000	8.5	0.982	4.756	-5.132	8.255	9.573	9.888	10.04	10.23	10.644	10.764	10.865	9.1	9.583	10.119	10.505	10.866	9.898	-0.141	-0.4	-0.201	-0.792	-0.769	-0.74	-0.475	-0.435	9.14E+05
65000	8.5	0.987	4.403	-5.41	8.169	9.493	9.813	9.966	10.158	10.573	10.694	10.795	9.014	9.504	10.044	10.432	10.794	9.824	-0.143	-0.41	-0.209	-0.794	-0.772	-0.751	-0.484	-0.44	7.22E+05
70000	8.5	0.992	4.076	-5.669	8.091	9.419	9.744	9.898	10.091	10.508	10.629	10.73	8.936	9.432	9.976	10.365	10.727	9.755	-0.144	-0.419	-0.216	-0.796	-0.774	-0.76	-0.493	-0.445	6.02E+05
75000	8.5	0.997	3.77	-5.91	8.018	9.351	9.68	9.834	10.028	10.447	10.568	10.67	8.863	9.365	9.912	10.302	10.665	9.691	-0.146	-0.426	-0.222	-0.798	-0.777	-0.769	-0.5	-0.449	5.13E+05
80000	8.5	1.002	3.485	-6.135	7.951	9.287	9.62	9.775	9.97	10.39	10.512	10.613	8.796	9.303	9.853	10.244	10.607	9.632	-0.147	-0.433	-0.227	-0.799	-0.779	-0.776	-0.506	-0.453	4.51E+05
85000	8.5	1.006	3.217	-6.347	7.888	9.228	9.564	9.719	9.916	10.336	10.458	10.559	8.733	9.245	9.797	10.189	10.553	9.576	-0.148	-0.438	-0.232	-0.801	-0.781	-0.782	-0.511	-0.456	4.11E+05
90000	8.5	1.011	2.964	-6.547	7.829	9.171	9.511	9.666	9.864	10.285	10.408	10.509	8.674	9.189	9.743	10.137	10.501	9.522	-0.149	-0.444	-0.236	-0.802	-0.783	-0.788	-0.516	-0.459	3.86E+05
100000	8.5	1.019	2.498	-6.913	7.719	9.067	9.411	9.568	9.766	10.189	10.313	10.414	8.565	9.087	9.645	10.039	10.404	9.423	-0.151	-0.452	-0.243	-0.804	-0.786	-0.798	-0.524	-0.464	3.41E+05
110000	8.5	1.025	2.077	-7.245	7.622	8.973	9.322	9.479	9.679	10.103	10.227	10.329	8.467	8.995	9.556	9.952	10.317	9.334	-0.152	-0.46	-0.249	-0.806	-0.788	-0.806	-0.531	-0.468	2.57E+05
120000	8.5	1.028	1.696	-7.546	7.534	8.889	9.242	9.4	9.601	10.027	10.151	10.252	8.38	8.912	9.476	9.873	10.24	9.254	-0.153	-0.466	-0.254	-0.808	-0.791	-0.813	-0.537	-0.471	1.38E+05
1500	9	1.194	21.814	1.128	24.559	22.529	20.687	20.902	22.851	22.454	22.325	23.224	25.538	21.498	20.768	23.211	22.666	20.597	1.26	4.769	3.037	-3.031	-0.795	5.231	4.266	2.214	7.33E+09
1750	9	1.194	21.145	1.025	24.018	22.095	20.12	20.102	21.562	21.315	21.31	22.093	24.981	21.041	19.988	21.916	21.563	20.046	1.389	4.594	3.12	-2.18	-0.033	5.177	4.1	2.301	7.31E+09
2000	9	1.194	20.565	0.862	23.506	21.711	19.703	19.459	20.431	20.391	20.511	21.193	24.453	20.676	19.384	20.786	20.587	19.653	1.418	4.38	3.081	-1.362	0.619	4.997	3.898	2.273	7.29E+09
2250	9	1.194	20.054	0.659	23.05	21.378	19.394	18.968	19.516	19.579	19.783	20.332	23.982	20.375	18.949	19.88	19.771	19.361	1.399	4.176	2.993	-0.687	1.104	4.787	3.707	2.203	7.27E+09
2500	9	1.194	19.596	0.46	22.628	21.071	19.136	18.567	18.753	18.911	19.19	19.628	23.547	20.102	18.617	19.136	19.079	19.111	1.363	3.987	2.892	-0.138	1.439	4.577	3.529	2.121	7.25E+09
2750	9	1.194	19.182	0.273	22.233	20.782	18.91	18.237	18.131	18.321	18.649	18.985	23.141	19.849	18.358	18.543	18.504	18.888	1.318	3.812	2.786	0.287	1.636	4.373	3.365	2.034	7.22E+09
3000	9	1.194	18.804	0.103	21.85	20.503	18.701	17.959	17.621	17.797	18.166	18.446	22.748	19.607	18.144	18.07	18.018	18.68	1.267	3.645	2.675	0.611	1.722	4.171	3.209	1.942	7.20E+09
3250	9	1.194	18.457	-0.042	21.465	20.221	18.499	17.721	17.217	17.313	17.686	17.909	22.353	19.364	17.955	17.703	17.615	18.478	1.209	3.478	2.555	0.826	1.722	3.964	3.053	1.843	7.17E+09
3500	9	1.194	18.135	-0.158	21.062	19.925	18.293	17.511	16.909	16.865	17.218	17.399	21.942	19.111	17.773	17.424	17.292	18.271	1.145	3.306	2.426	0.934	1.662	3.746	2.891	1.735	7.13E+09
3750	9	1.194	17.835	-0.25	20.65	19.623	18.085	17.324	16.681	16.459	16.754	16.901	21.522	18.852	17.596	17.21	17.045	18.063	1.076	3.132	2.29	0.956	1.568	3.522	2.728	1.621	7.07E+09
4000	9	1.194	17.555	-0.301	20.186	19.282	17.855	17.133	16.49	16.1	16.303	16.407	21.048	18.563	17.404	17.021	16.843	17.833	0.997	2.934	2.133	0.916	1.442	3.267	2.542	1.489	7.00E+09
4250	9	1.194	17.292	-0.324	19.697	18.925	17.616	16.94	16.316	15.811	15.888	15.943	20.551	18.261	17.203	16.843	16.668	17.593	0.915	2.725	1.967	0.847	1.307	2.998	2.345	1.35	6.91E+09
4500	9	1.194	17.043	-0.308	19.156	18.533	17.351	16.728	16.139	15.591	15.523	15.553	20.002	17.928	16.981	16.655	16.498	17.33	0.827	2.49	1.785	0.759	1.159	2.7	2.124	1.198	6.78E+09
4750	9	1.194	16.808	-0.272	18.603	18.136	17.081	16.511	15.959	15.422	15.232	15.222	19.441	17.589	16.752	16.464	16.331	17.06	0.742	2.246	1.604	0.666	1.015	2.398	1.896	1.048	6.65E+09
5000	9	1.194	16.586	-0.224	18.06	17.745	16.81	16.29	15.779	15.277	15.02	14.968	18.891	17.253	16.52	16.272	16.164	16.791	0.664	2.009	1.433	0.575	0.88	2.108	1.674	0.908	6.49E+09
5250	9	1.194	16.374	-0.176	17.549	17.376	16.55	16.077	15.605	15.146	14.867	14.793	18.374	16.933	16.296	16.086	16.004	16.532	0.595	1.787	1.28	0.488	0.757	1.842	1.468	0.784	6.31E+09
5500	9	1.194	16.171	-0.134	17.074	17.036	16.305	15.876	15.441	15.024	14.749	14.673	17.895	16.636	16.084	15.909	15.852	16.288	0.536	1.58	1.146	0.408	0.648	1.601	1.278	0.675	6.05E+09
6000	9	1.195	15.793	-0.083	16.246	16.448	15.876	15.521	15.149	14.811	14.562	14.505	17.061	16.119	15.714	15.597	15.583	15.861	0.439	1.215	0.926	0.27	0.465	1.187	0.949	0.498	5.10E+09
6500	9	1.195	15.445	-0.08	15.565	15.976	15.525	15.23	14.91	14.636	14.416	14.379	16.38	15.7	15.412	15.341	15.362	15.512	0.364	0.909	0.761	0.158	0.321	0.859	0.686	0.365	4.40E+09
7000	9	1.196	15.123	-0.11	15.043	15.597	15.233	14.987	14.709	14.489	14.294	14.277	15.862	15.358	15.159	15.127	15.177	15.221	0.308	0.707	0.649	0.066	0.205	0.639	0.515	0.27	4.00E+09
7500	9	1.196	14.823	-0.154	14.639	15.281	14.977	14.771	14.531	14.36	14.191	14.19	15.461	15.066	14.936	14.937	15.013	14.967	0.264	0.585	0.574	-0.012	0.112	0.498	0.413	0.203	3.68E+09
8000	9	1.196	14.543	-0.203	14.312	15.007	14.746	14.574	14.366	14.244	14.1	14.111	15.135	14.809	14.731	14.761	14.86	14.736	0.23	0.513	0.524	-0.079	0.036	0.408	0.353	0.154	3.39E+09
8500	9	1.196	14.279	-0.252	14.035	14.764	14.532	14.389	14.211	14.135	14.017	14.038	14.861	14.576	14.541	14.596	14.718	14.522	0.202	0.471	0.493	-0.139	-0.029	0.351	0.32	0.12	3.11E+09
9000	9	1.196	14.031	-0.301	13.794	14.544	14.331	14.216	14.066	14.034	13.938	13.967	14.622	14.363	14.362	14.441	14.583	14.322	0.179	0.448	0.475	-0.194	-0.085	0.316	0.303	0.096	2.86E+09
9500	9	1.197	13.796	-0.347	13.579	14.343	14.143	14.052	13.928	13.94	13.864	13.9	14.408	14.166	14.195	14.294	14.457	14.133	0.16	0.436	0.465	-0.246	-0.135	0.294	0.297	0.081	2.64E+09
10000	9	1.197	13.573	-0.392	13.383	14.156	13.965	13.898	13.799	13.85	13.793	13.834	14.213	13.981	14.037	14.156	14.339	13.954	0.144	0.431	0.461	-0.296	-0.18	0.28	0.295	0.071	2.44E+09
10500	9	1.197	13.361	-0.437	13.202	13.982	13.798	13.754	13.679	13.767	13.725	13.772	14.033	13.81	13.889	14.027	14.229	13.787	0.13	0.427	0.46	-0.343	-0.222	0.27	0.293	0.066	2.26E+09
11000	9	1.197	13.159	-0.488	13.035	13.825	13.646	13.624	13.57	13.691	13.663	13.714	13.868	13.654	13.755	13.911	14.131	13.634	0.119	0.422	0.459	-0.388	-0.26	0.26	0.29	0.061	2.09E+09
11500	9	1.197	12.965	-0.55	12.886	13.686	13.515	13.511	13.477	13.625	13.609	13.663	13.719	13.518	13.639	13.811	14.046	13.502	0.108	0.412	0.455	-0.428	-0.293	0.245	0.281	0.055	1.93E+09
12000	9	1.198	12.78	-0.623	12.752	13.565	13.404	13.416	13.399	13.568	13.56	13.617	13.586	13.4	13.541	13.727	13.974	13.39	0.098	0.398	0.447	-0.462	-0.323	0.226	0.268	0.048	1.79E+09
12500	9	1.198	12.603	-0.705	12.631	13.459	13.308	13.334	13.331	13.517	13.517	13.577	13.466	13.298	13.456	13.655	13.912	13.294	0.088	0.381	0.436	-0.491	-0.35	0.204	0.252	0.04	1.67E+09
13000	9	1.198	12.432	-0.791	12.522	13.364	13.223	13.262	13.272	13.473	13.479	13.541	13.357	13.207	13.382	13.592	13.857	13.21	0.079	0.364	0.425	-0.517	-0.375	0.181	0.236	0.03	1.55E+09
13500	9	1.198	12.268	-0.883	12.428	13.281	13.151	13.2	13.222	13.434	13.446	13.51	13.263	13.127	13.318	13.538	13.811	13.137	0.069	0.35	0.415	-0.539	-0.398	0.161	0.223	0.021	1.43E+09
14000	9	1.199	12.11	-0.982	12.351	13.214	13.092	13.151	13.182	13.404	13.419	13.485	13.187	13.063	13.267	13.496	13.774	13.079	0.061	0.339	0.406	-0.559	-0.417	0.145	0.212	0.013	1.33E+09
14500	9	1.199	11.957	-1.088	12.289	13.159	13.046	13.111	13.15	13.378	13.398	13.464	13.125	13.011	13.225	13.462	13.744	13.032	0.054	0.33	0.397	-0.574	-0.434	0.131	0.203	0.006	1.23E+09
15000	9	1.199	11.81	-1.189	12.226	13.104	12.999	13.071	13.118	13.353	13.375	13.443	13.063	12.958	13.184	13.428	13.714	12.986	0.046	0.32	0.388	-0.589	-0.45	0.116	0.194	-0.002	1.14E+09
15500	9	1.199	11.667	-1.282	12.158	13.044	12.949	13.029	13.084	13.325	13.351	13.42	12.995	12.902	13.14	13.391	13.682	12.936	0.037	0.309	0.377	-0.604	-0.468	0.099	0.183	-0.012	1.06E+09
16000	9	1.199	11.529	-1.369	12.085	12.982	12.898	12.984	13.047	13.296	13.326	13.396	12.923	12.843	13.094	13.353	13.648	12.886	0.028	0.295	0.364	-0.618	-0.486	0.079	0.171	-0.024	9.81E+08
16500	9	1.2	11.395	-1.452	12.011	12.919	12.847	12.939	13.009	13.266	13.3	13.371	12.849	12.784	13.047	13.313	13.612	12.836	0.019	0.279	0.349	-0.631	-0.503	0.056	0.157	-0.038	9.09E+08
17000	9	1.2	11.266	-1.532	11.935	12.856	12.797	12.894	12.971	13.234	13.272	13.345	12.774	12.726	13.001	13.273	13.576	12.787	0.01	0.259	0.331	-0.642	-0.519	0.03	0.14	-0.053	8.40E+08
20000	9	1.201	10.558	-1.967	11.5	12.508	12.525	12.639	12.744	13.044	13.101	13.182	12.34	12.407	12.739	13.038	13.357	12.52	-0.028	0.125	0.223	-0.682	-0.584	-0.132	0.017	-0.138	5.13E+08
25000	9	1.204	9.587	-2.547	10.896	12.022	12.134	12.266	12.404	12.752	12.833	12.928	11.737	11.959	12.36	12.69	13.027	12.133	-0.069	-0.059	0.087	-0.73	-0.656	-0.344	-0.153	-0.233	2.53E+08
30000	9	1.206	8.794	-2.972	10.362	11.576	11.765	11.909	12.069	12.454	12.554	12.659	11.205	11.543	11.996	12.349	12.699	11.768	-0.097	-0.203	-0.025	-0.761	-0.704	-0.509	-0.289	-0.307	1.49E+08
35000	9	1.205	8.125	-3.364	9.987	11.246	11.488	11.635	11.807	12.206	12.316	12.42	10.83	11.231	11.719	12.085	12.44	11.494	-0.117	-0.285	-0.099	-0.773	-0.731	-0.607	-0.368	-0.356	1.12E+08
40000	9	1.208	7.543	-3.768	9.76	11.043	11.311	11.459	11.638	12.043	12.157	12.26	10.604	11.037	11.542	11.914	12.271	11.318	-0.125	-0.329	-0.136	-0.78	-0.743	-0.657	-0.41	-0.381	7.08E+07
45000	9	1.21	7.029	-4.152	9.6	10.897	11.181	11.331	11.514	11.923	12.039	12.142	10.444	10.897	11.413	11.789	12.148	11.189	-0.129	-0.356	-0.159	-0.785	-0.751	-0.687	-0.435	-0.397	4.61E+07
50000	9	1.212	6.57	-4.507	9.474	10.781	11.077	11.228	11.414	11.826	11.944	12.047	10.318	10.786	11.309	11.689	12.049	11.085	-0.133	-0.376	-0.175	-0.788	-0.757	-0.709	-0.454	-0.409	2.82E+07
55000	9	1.214	6.154	-4.834	9.368	10.684	10.988	11.14	11.328	11.743	11.862	11.965	10.213	10.691	11.22	11.603	11.964	10.997	-0.136	-0.391	-0.188	-0.791	-0.762	-0.726	-0.467	-0.418	1.44E+07
60000	9	1.217	5.774	-5.136	9.277	10.598	10.91	11.063	11.253	11.669	11.789	11.892	10.121	10.608	11.142	11.527	11.889	10.919	-0.138	-0.402	-0.198	-0.794	-0.766	-0.739	-0.479	-0.426	5.49E+06
