Teff	logg	M/Mo	Mbol	BC	U	B	V	R	I	J	H	K	u	g	r	i	z	y	b-y	u-b	v-y	V-I	G-R	U-V	U-G	B-V	Age
14000	9.5	1.366	13.218	-0.955	13.363	14.292	14.173	14.224	14.245	14.48	14.488	14.555	14.198	14.15	14.343	14.56	14.836	14.157	0.082	0.25	0.388	-0.543	-0.387	0.077	0.123	0.031	1.36E+09
14500	9.5	1.366	13.065	-1.045	13.28	14.22	14.11	14.171	14.201	14.446	14.458	14.527	14.115	14.082	14.288	14.513	14.794	14.094	0.075	0.235	0.378	-0.561	-0.405	0.057	0.109	0.023	1.31E+09
15000	9.5	1.366	12.918	-1.14	13.211	14.161	14.059	14.126	14.165	14.418	14.433	14.504	14.046	14.025	14.242	14.475	14.761	14.043	0.069	0.223	0.37	-0.577	-0.421	0.042	0.097	0.016	1.27E+09
15500	9.5	1.366	12.776	-1.241	13.154	14.112	14.016	14.09	14.135	14.394	14.413	14.485	13.99	13.979	14.204	14.444	14.733	14.001	0.063	0.213	0.362	-0.59	-0.434	0.029	0.088	0.01	1.23E+09
16000	9.5	1.366	12.638	-1.338	13.098	14.064	13.975	14.055	14.106	14.371	14.393	14.466	13.935	13.933	14.168	14.413	14.707	13.96	0.057	0.203	0.355	-0.603	-0.448	0.016	0.079	0.004	1.19E+09
16500	9.5	1.367	12.504	-1.428	13.04	14.014	13.932	14.018	14.076	14.347	14.373	14.447	13.877	13.885	14.129	14.381	14.678	13.917	0.051	0.193	0.347	-0.616	-0.462	0.001	0.069	-0.002	1.15E+09
17000	9.5	1.367	12.374	-1.513	12.977	13.96	13.887	13.979	14.044	14.322	14.35	14.426	13.815	13.834	14.089	14.347	14.648	13.872	0.044	0.182	0.337	-0.629	-0.477	-0.014	0.059	-0.01	1.11E+09
20000	9.5	1.367	11.668	-1.95	12.573	13.624	13.619	13.734	13.833	14.147	14.196	14.279	13.413	13.522	13.837	14.127	14.447	13.608	0	0.081	0.247	-0.683	-0.554	-0.148	-0.031	-0.085	9.37E+08
25000	9.5	1.368	10.698	-2.53	11.976	13.133	13.229	13.363	13.497	13.856	13.931	14.027	12.818	13.07	13.458	13.782	14.121	13.224	-0.049	-0.09	0.103	-0.732	-0.634	-0.354	-0.188	-0.192	6.89E+08
30000	9.5	1.369	9.906	-2.956	11.449	12.683	12.862	13.007	13.164	13.556	13.652	13.757	12.292	12.65	13.096	13.444	13.795	12.862	-0.082	-0.225	-0.018	-0.761	-0.687	-0.516	-0.314	-0.28	3.74E+08
