arcsec, 5sigHcontr
0.5981, 5.8682e-6
0.5993, 5.8683e-6
0.6004, 5.8683e-6
0.6016, 5.8291e-6
0.6027, 5.8292e-6
0.6038, 5.8292e-6
0.6049, 5.7902e-6
0.6059, 5.7903e-6
0.6071, 5.7903e-6
0.6082, 5.7516e-6
0.6094, 5.7517e-6
0.6105, 5.7517e-6
0.6116, 5.7518e-6
0.6127, 5.7518e-6
0.6138, 5.7518e-6
0.615, 5.7134e-6
0.616, 5.7134e-6
0.6172, 5.7135e-6
0.6183, 5.7135e-6
0.6194, 5.7136e-6
0.6205, 5.7136e-6
0.6217, 5.6754e-6
0.6228, 5.6755e-6
0.6239, 5.6755e-6
0.625, 5.6756e-6
0.6261, 5.6756e-6
0.6272, 5.6756e-6
0.6282, 5.6757e-6
0.6295, 5.6378e-6
0.6306, 5.6378e-6
0.6317, 5.6378e-6
0.6328, 5.6379e-6
0.6339, 5.6379e-6
0.635, 5.6002e-6
0.6362, 5.6003e-6
0.6373, 5.6003e-6
0.6383, 5.6004e-6
0.6395, 5.6004e-6
0.6406, 5.563e-6
0.6417, 5.563e-6
0.6429, 5.5631e-6
0.644, 5.5631e-6
0.6451, 5.5632e-6
0.6461, 5.526e-6
0.6473, 5.526e-6
0.6484, 5.5261e-6
0.6496, 5.5261e-6
0.6507, 5.5261e-6
0.6518, 5.5262e-6
0.6529, 5.4892e-6
0.654, 5.4893e-6
0.6551, 5.4893e-6
0.6562, 5.4894e-6
0.6574, 5.4894e-6
0.6585, 5.4527e-6
0.6596, 5.4528e-6
0.6606, 5.4528e-6
0.6618, 5.4528e-6
0.6629, 5.4529e-6
0.6641, 5.4164e-6
0.6652, 5.4165e-6
0.6663, 5.4165e-6
0.6674, 5.3803e-6
0.6684, 5.3804e-6
0.6696, 5.3804e-6
0.6707, 5.3804e-6
0.6719, 5.3805e-6
0.673, 5.3445e-6
0.6741, 5.3446e-6
0.6752, 5.3446e-6
0.6763, 5.3447e-6
0.6775, 5.3089e-6
0.6785, 5.309e-6
0.6797, 5.309e-6
0.6808, 5.3091e-6
0.6819, 5.2736e-6
0.683, 5.2736e-6
0.6842, 5.2736e-6
0.6853, 5.2737e-6
0.6864, 5.2384e-6
0.6875, 5.2385e-6
0.6886, 5.2385e-6
0.6897, 5.2386e-6
0.6907, 5.2386e-6
0.692, 5.2036e-6
0.6931, 5.2036e-6
0.6942, 5.1689e-6
0.6953, 5.1689e-6
0.6964, 5.1689e-6
0.6975, 5.1344e-6
0.6987, 5.1344e-6
0.6998, 5.1345e-6
0.7008, 5.1001e-6
0.702, 5.1002e-6
0.7031, 5.1002e-6
0.7042, 5.0661e-6
0.7054, 5.0662e-6
0.7065, 5.0662e-6
0.7076, 5.0324e-6
0.7086, 5.0324e-6
0.7098, 5.0324e-6
0.7109, 5.0325e-6
0.7121, 4.9988e-6
0.7132, 4.9989e-6
0.7143, 4.9989e-6
0.7154, 4.9655e-6
0.7165, 4.9655e-6
0.7176, 4.9656e-6
0.7187, 4.9656e-6
0.7199, 4.9324e-6
0.721, 4.9325e-6
0.7221, 4.9325e-6
0.7231, 4.8995e-6
0.7243, 4.8996e-6
0.7254, 4.8996e-6
0.7266, 4.8669e-6
0.7277, 4.8669e-6
0.7288, 4.8344e-6
0.7299, 4.8344e-6
0.7309, 4.8021e-6
0.7321, 4.8021e-6
0.7332, 4.77e-6
0.7344, 4.7701e-6
0.7355, 4.7382e-6
0.7366, 4.7382e-6
0.7377, 4.7066e-6
0.7388, 4.7066e-6
0.74, 4.6752e-6
0.741, 4.6752e-6
0.7422, 4.6439e-6
0.7433, 4.644e-6
0.7444, 4.644e-6
0.7455, 4.613e-6
0.7467, 4.613e-6
0.7478, 4.5822e-6
0.7489, 4.5822e-6
0.75, 4.5516e-6
0.7511, 4.5516e-6
0.7522, 4.5212e-6
0.7532, 4.5212e-6
0.7545, 4.491e-6
0.7556, 4.4911e-6
0.7567, 4.461e-6
0.7578, 4.4611e-6
0.7589, 4.4313e-6
0.76, 4.4313e-6
0.7612, 4.4017e-6
0.7623, 4.3723e-6
0.7633, 4.3723e-6
0.7645, 4.3431e-6
0.7656, 4.3431e-6
0.7667, 4.3141e-6
0.7679, 4.3141e-6
0.769, 4.2853e-6
0.7701, 4.2853e-6
0.7711, 4.2567e-6
0.7723, 4.2567e-6
0.7734, 4.2283e-6
0.7746, 4.2283e-6
0.7757, 4.2283e-6
0.7768, 4.2001e-6
0.7779, 4.2001e-6
0.779, 4.172e-6
0.7801, 4.1721e-6
0.7812, 4.1442e-6
0.7824, 4.1442e-6
0.7835, 4.1442e-6
0.7846, 4.1165e-6
0.7856, 4.1166e-6
0.7868, 4.0891e-6
0.7879, 4.0891e-6
0.7891, 4.0618e-6
0.7902, 4.0618e-6
0.7913, 4.0618e-6
0.7924, 4.0347e-6
0.7934, 4.0347e-6
0.7946, 4.0077e-6
0.7957, 4.0078e-6
0.7969, 4.0078e-6
0.798, 3.981e-6
0.7991, 3.981e-6
0.8002, 3.9544e-6
0.8013, 3.9545e-6
0.8025, 3.928e-6
0.8035, 3.9281e-6
0.8047, 3.9018e-6
0.8058, 3.8757e-6
0.8069, 3.8758e-6
0.808, 3.8499e-6
0.8092, 3.8241e-6
0.8103, 3.7986e-6
0.8114, 3.7732e-6
0.8125, 3.7732e-6
0.8136, 3.748e-6
0.8147, 3.723e-6
0.8157, 3.6981e-6
0.817, 3.6981e-6
0.8181, 3.6734e-6
0.8192, 3.6488e-6
0.8203, 3.6245e-6
0.8214, 3.6002e-6
0.8225, 3.6003e-6
0.8237, 3.5762e-6
0.8248, 3.5523e-6
0.8258, 3.5286e-6
0.827, 3.5286e-6
0.8281, 3.505e-6
0.8292, 3.4816e-6
0.8304, 3.4816e-6
0.8315, 3.4583e-6
0.8326, 3.4352e-6
0.8336, 3.4123e-6
0.8348, 3.4123e-6
0.8359, 3.3895e-6
0.8371, 3.3668e-6
0.8382, 3.3669e-6
0.8393, 3.3444e-6
0.8404, 3.322e-6
0.8415, 3.2998e-6
0.8426, 3.2998e-6
0.8437, 3.2778e-6
0.8449, 3.2559e-6
0.846, 3.2559e-6
0.8471, 3.2341e-6
0.8481, 3.2125e-6
0.8493, 3.2125e-6
0.8504, 3.1911e-6
0.8516, 3.1697e-6
0.8527, 3.1698e-6
0.8538, 3.1486e-6
0.8549, 3.1275e-6
0.8559, 3.1276e-6
0.8571, 3.1067e-6
0.8582, 3.0859e-6
0.8594, 3.0859e-6
0.8605, 3.0653e-6
0.8616, 3.0448e-6
0.8627, 3.0448e-6
0.8638, 3.0245e-6
0.865, 3.0043e-6
0.866, 3.0043e-6
0.8672, 2.9842e-6
0.8683, 2.9643e-6
0.8694, 2.9643e-6
0.8705, 2.9445e-6
0.8717, 2.9445e-6
0.8728, 2.9248e-6
0.8739, 2.9249e-6
0.875, 2.9053e-6
0.8761, 2.9053e-6
0.8772, 2.8859e-6
0.8782, 2.8859e-6
0.8795, 2.8666e-6
0.8806, 2.8475e-6
0.8817, 2.8475e-6
0.8828, 2.8285e-6
0.8839, 2.8285e-6
0.885, 2.8285e-6
0.8862, 2.8096e-6
0.8873, 2.8096e-6
0.8883, 2.7909e-6
0.8895, 2.7909e-6
0.8906, 2.7909e-6
0.8917, 2.7909e-6
0.8929, 2.7723e-6
0.894, 2.7723e-6
0.8951, 2.7723e-6
0.8961, 2.7538e-6
0.8973, 2.7538e-6
0.8984, 2.7538e-6
0.8996, 2.7539e-6
0.9007, 2.7539e-6
0.9018, 2.7355e-6
0.9029, 2.7355e-6
0.904, 2.7355e-6
0.9051, 2.7172e-6
0.9062, 2.7172e-6
0.9074, 2.6991e-6
0.9085, 2.6991e-6
0.9096, 2.6811e-6
0.9106, 2.6632e-6
0.9118, 2.6632e-6
0.9129, 2.6454e-6
0.9141, 2.6454e-6
0.9152, 2.6277e-6
0.9163, 2.6277e-6
0.9174, 2.6102e-6
0.9184, 2.6102e-6
0.9196, 2.5927e-6
0.9207, 2.5928e-6
0.9219, 2.5928e-6
0.923, 2.5755e-6
0.9241, 2.5755e-6
0.9252, 2.5755e-6
0.9263, 2.5755e-6
0.9275, 2.5583e-6
0.9285, 2.5583e-6
0.9297, 2.5583e-6
0.9308, 2.5412e-6
0.9319, 2.5413e-6
0.933, 2.5413e-6
0.9342, 2.5413e-6
0.9353, 2.5243e-6
0.9364, 2.5243e-6
